'=$CALCULOS.C11'	'=ENTERO(A1*20)/20'	'=A1-B1+0,0001'	'=BUSCARV(A1;TA2T01_strappings;2)'	'=BUSCARV(C1;TA2T01_fractions;2)'	'=D1+E1'		0,070	'=BUSCARV(H1;TA2T01_strappings;2)'	'=H1+0,05'	'=BUSCARV(J1;TA2T01_strappings;2)'	'=K1-I1'	'=H1*20-ENTERO(H1*20)'	'=REDONDEAR(I1+L1*M1;0)'	'=SI(H1*20-ENTERO(H1*20)=0;I1;N1)'
'=$CALCULOS.C12'	'=ENTERO(A2*20)/20'	'=A2-B2+0,0001'	'=BUSCARV(A2;TA2T01_strappings;2)'	'=BUSCARV(C2;TA2T01_fractions;2)'	'=D2+E2'		0,050	'=BUSCARV(H2;TA2T01_strappings;2)'	'=H2+0,05'	'=BUSCARV(J2;TA2T01_strappings;2)'	'=K2-I2'	'=H2*20-ENTERO(H2*20)'	'=REDONDEAR(I2+L2*M2;0)'	'=SI(H2*20-ENTERO(H2*20)=0;I2;N2)'
13,55	' 423.991 '	'=B326-B325'	'=C325-C326'											
13,60	' 425.581 '	'=B327-B326'	'=C326-C327'											
13,65	' 427.171 '	'=B328-B327'	'=C327-C328'											
13,70	' 428.761 '	'=B329-B328'	'=C328-C329'											
13,75	' 430.351 '	'=B330-B329'	'=C329-C330'											
13,80	' 431.941 '	'=B331-B330'	'=C330-C331'											
13,85	' 433.531 '	'=B332-B331'	'=C331-C332'											
13,90	' 435.121 '	'=B333-B332'	'=C332-C333'											
13,95	' 436.711 '	'=B334-B333'	'=C333-C334'											
14,00	' 438.301 '	'=B335-B334'	'=C334-C335'											
14,05	' 439.891 '	'=B336-B335'	'=C335-C336'											
14,10	' 441.481 '	'=B337-B336'	'=C336-C337'											
14,15	' 443.071 '	'=B338-B337'	'=C337-C338'											
14,20	' 444.661 '	'=B339-B338'	'=C338-C339'											
14,25	' 446.251 '	'=B340-B339'	'=C339-C340'											
14,30	' 447.841 '	'=B341-B340'	'=C340-C341'											
14,35	' 449.431 '	'=B342-B341'	'=C341-C342'											
14,40	' 451.021 '	'=B343-B342'	'=C342-C343'											
14,45	' 452.611 '	'=B344-B343'	'=C343-C344'											
14,50	' 454.201 '	'=B345-B344'	'=C344-C345'											
14,55	' 455.791 '	'=B346-B345'	'=C345-C346'											
14,60	' 457.381 '	'=B347-B346'	'=C346-C347'											
14,65	' 458.971 '	'=B348-B347'	'=C347-C348'											
14,70	' 460.561 '	'=B349-B348'	'=C348-C349'											
14,75	' 462.151 '	'=B350-B349'	'=C349-C350'											
14,80	' 463.741 '	'=B351-B350'	'=C350-C351'											
14,85	' 465.331 '	'=B352-B351'	'=C351-C352'											
14,90	' 466.921 '	'=B353-B352'	'=C352-C353'											
14,95	' 468.511 '	'=B354-B353'	'=C353-C354'											
15,00	' 470.101 '	'=B355-B354'	'=C354-C355'											
15,05	' 471.691 '	'=B356-B355'	'=C355-C356'											
15,10	' 473.281 '	'=B357-B356'	'=C356-C357'											
15,15	' 474.871 '	'=B358-B357'	'=C357-C358'											
15,20	' 476.461 '	'=B359-B358'	'=C358-C359'											
15,25	' 478.051 '	'=B360-B359'	'=C359-C360'											
15,30	' 479.641 '	'=B361-B360'	'=C360-C361'											
15,35	' 481.231 '	'=B362-B361'	'=C361-C362'											
15,40	' 482.821 '	'=B363-B362'	'=C362-C363'											
15,45	' 484.411 '	'=B364-B363'	'=C363-C364'											
15,50	' 486.001 '	'=B365-B364'	'=C364-C365'											
15,55	' 487.591 '	'=B366-B365'	'=C365-C366'											
15,60	' 489.181 '	'=B367-B366'	'=C366-C367'											
15,65	' 490.771 '	'=B368-B367'	'=C367-C368'											
15,70	' 492.361 '	'=B369-B368'	'=C368-C369'											
15,75	' 493.951 '	'=B370-B369'	'=C369-C370'											
15,80	' 495.541 '	'=B371-B370'	'=C370-C371'											
15,85	' 497.131 '	'=B372-B371'	'=C371-C372'											
15,90	' 498.721 '	'=B373-B372'	'=C372-C373'											
15,95	' 500.311 '	'=B374-B373'	'=C373-C374'											
16,00	' 501.901 '	'=B375-B374'	'=C374-C375'											
16,05	' 503.491 '	'=B376-B375'	'=C375-C376'											
16,10	' 505.081 '	'=B377-B376'	'=C376-C377'											
16,15	' 506.671 '	'=B378-B377'	'=C377-C378'											
16,20	' 508.261 '	'=B379-B378'	'=C378-C379'											
16,25	' 509.851 '	'=B380-B379'	'=C379-C380'											
16,30	' 511.441 '	'=B381-B380'	'=C380-C381'											
16,35	' 513.031 '	'=B382-B381'	'=C381-C382'											
16,40	' 514.621 '	'=B383-B382'	'=C382-C383'											
16,45	' 516.211 '	'=B384-B383'	'=C383-C384'											
16,50	' 517.801 '	'=B385-B384'	'=C384-C385'											
16,55	' 519.391 '	'=B386-B385'	'=C385-C386'											
16,60	' 520.981 '	'=B387-B386'	'=C386-C387'											
16,65	' 522.571 '	'=B388-B387'	'=C387-C388'											
16,70	' 524.161 '	'=B389-B388'	'=C388-C389'											
16,75	' 525.751 '	'=B390-B389'	'=C389-C390'											
16,80	' 527.341 '	'=B391-B390'	'=C390-C391'											
16,85	' 528.931 '	'=B392-B391'	'=C391-C392'											
16,90	' 530.521 '	'=B393-B392'	'=C392-C393'											
16,95	' 532.111 '	'=B394-B393'	'=C393-C394'											
